,cname,act_enroll12,act_numtsttakr,act_numge21,act_pctge21
0,Sacramento,19540.0,3065.0,1526.0,49.79
1,San Joaquin,11778.0,1348.0,693.0,51.41
2,Kern,14229.0,1257.0,544.0,43.28
3,Shasta,2161.0,173.0,131.0,75.72
4,Sutter,1827.0,196.0,117.0,59.69
5,Calaveras,451.0,31.0,27.0,87.1
6,Mono,420.0,20.0,16.0,80.0
7,Ventura,10750.0,1552.0,1086.0,69.97
8,Marin,2647.0,753.0,606.0,80.48
9,El Dorado,2226.0,465.0,358.0,76.99
10,Mendocino,988.0,68.0,44.0,64.71
11,Glenn,500.0,72.0,25.0,34.72
12,Sierra,23.0,3.0,,
13,San Mateo,7235.0,1434.0,1049.0,73.15
14,San Benito,885.0,123.0,56.0,45.53
15,Sonoma,5496.0,837.0,549.0,65.59
16,Kings,2004.0,282.0,69.0,24.47
17,Trinity,154.0,15.0,11.0,73.33
18,Inyo,548.0,28.0,19.0,67.86
19,Madera,2352.0,375.0,125.0,33.33
20,Humboldt,1342.0,107.0,79.0,73.83
21,Santa Cruz,3239.0,567.0,317.0,55.91
22,Stanislaus,9071.0,753.0,403.0,53.52
23,Santa Barbara,5304.0,824.0,506.0,61.41
24,Lake,667.0,65.0,27.0,41.54
25,Orange,41235.0,8501.0,6087.0,71.6
26,Contra Costa,14593.0,3183.0,2250.0,70.69
27,Amador,305.0,37.0,29.0,78.38
28,San Diego,42040.0,8081.0,5231.0,64.73
29,Riverside,34277.0,4767.0,2144.0,44.98
30,Modoc,87.0,55.0,11.0,20.0
31,Tuolumne,518.0,23.0,18.0,78.26
32,Napa,1717.0,209.0,130.0,62.2
33,Butte,2551.0,226.0,146.0,64.6
34,Yuba,977.0,64.0,30.0,46.88
35,Solano,4845.0,436.0,261.0,59.86
36,Plumas,163.0,9.0,,
37,San Bernardino,31635.0,5418.0,1550.0,28.61
38,Lassen,283.0,27.0,15.0,55.56
39,Alpine,0.0,0.0,,
40,Colusa,339.0,26.0,9.0,34.62
41,Del Norte,363.0,5.0,,
42,Alameda,17567.0,3630.0,2459.0,67.74
43,Placer,5931.0,1292.0,993.0,76.86
44,Mariposa,155.0,16.0,8.0,50.0
45,Tulare,7558.0,951.0,326.0,34.28
46,Tehama,688.0,302.0,105.0,34.77
47,Fresno,14299.0,1805.0,753.0,41.72
48,San Luis Obispo,2841.0,570.0,396.0,69.47
49,Monterey,5768.0,1022.0,387.0,37.87
50,Yolo,2299.0,355.0,223.0,62.82
51,Imperial,3168.0,496.0,181.0,36.49
52,Siskiyou,462.0,95.0,46.0,48.42
53,Santa Clara,21656.0,4228.0,3300.0,78.05
54,San Francisco,4447.0,1078.0,565.0,52.41
55,Merced,4559.0,594.0,180.0,30.3
56,Nevada,1869.0,76.0,57.0,75.0
57,Los Angeles,114618.0,20678.0,9182.0,44.4
