,sat_enroll12,sat_numtsttakr12,sat_totnumbothbenchmark12,sat_pctbothbenchmark12,cname,act_enroll12,act_numtsttakr,act_numge21,act_pctge21,GDP,state,population,median_household_income,unemployment_rate
0,2226.0,604.0,442.0,73.18,El Dorado,2226.0,465.0,358.0,76.99,7435270000.0, CA,191848,78464,0.036000000000000004
1,114618.0,48676.0,18555.0,38.12,Los Angeles,114618.0,20678.0,9182.0,44.4,703781312000.0, CA,10253716,64912,0.047
2,2352.0,442.0,127.0,28.73,Madera,2352.0,375.0,125.0,33.33,6194111000.0, CA,159536,50783,0.07
3,2299.0,759.0,443.0,58.37,Yolo,2299.0,355.0,223.0,62.82,13964754000.0, CA,222581,64900,0.042
4,14229.0,3793.0,1364.0,35.96,Kern,14229.0,1257.0,544.0,43.28,49221208000.0, CA,916464,49904,0.08
5,1717.0,555.0,258.0,46.49,Napa,1717.0,209.0,130.0,62.2,9997969000.0, CA,140779,83881,0.028999999999999998
6,3239.0,864.0,468.0,54.17,Santa Cruz,3239.0,567.0,317.0,55.91,14124562000.0, CA,274871,76633,0.049
7,23.0,5.0,,,Sierra,23.0,3.0,,,87671000.0, CA,3213,49495,0.06
8,19540.0,6090.0,2779.0,45.63,Sacramento,19540.0,3065.0,1526.0,49.79,83951132000.0, CA,1546174,62959,0.038
9,31635.0,10544.0,4083.0,38.72,San Bernardino,31635.0,5418.0,1550.0,28.61,83759253000.0, CA,2192203,60270,0.04
10,451.0,90.0,60.0,66.67,Calaveras,451.0,31.0,27.0,87.1,1412753000.0, CA,45117,58536,0.04
11,155.0,36.0,26.0,72.22,Mariposa,155.0,16.0,8.0,50.0,775501000.0, CA,18068,52387,0.053
12,5931.0,1959.0,1350.0,68.91,Placer,5931.0,1292.0,993.0,76.86,21472690000.0, CA,396691,81366,0.031
13,518.0,80.0,48.0,60.0,Tuolumne,518.0,23.0,18.0,78.26,2404999000.0, CA,54590,58776,0.046
14,988.0,217.0,110.0,50.69,Mendocino,988.0,68.0,44.0,64.71,3295575000.0, CA,89009,50453,0.039
15,41235.0,16061.0,8533.0,53.13,Orange,41235.0,8501.0,6087.0,71.6,231036264000.0, CA,3222498,86031,0.028999999999999998
16,2841.0,630.0,401.0,63.65,San Luis Obispo,2841.0,570.0,396.0,69.47,15901604000.0, CA,280393,70634,0.028999999999999998
